entidad_federativa,mes,accidentes,danios_materiales_millones,heridos,muertos
Nayarit,febrero,23.0,5.115,2.0,6.0
Nayarit,marzo,21.0,1.682,4.0,5.0
Nayarit,abril,20.0,4.007,14.0,2.0
Nayarit,mayo,19.0,1.459,6.0,4.0
Nayarit,junio,15.0,1.71,2.0,1.0
Nayarit,julio,28.0,4.088,11.0,4.0
Nayarit,agosto,15.0,1.955,17.0,7.0
Nayarit,septiembre,22.0,1.543,7.0,3.0
Nayarit,octubre,21.0,3.045,11.0,3.0
Nayarit,noviembre,25.0,3.19,11.0,2.0
Nayarit,diciembre,23.0,2.39,13.0,3.0
Nuevo Leon,enero,53.0,4.332,52.0,20.0
Nuevo Leon,febrero,39.0,2.4605,35.0,7.0
Nuevo Leon,marzo,49.0,6.68,29.0,10.0
Nuevo Leon,abril,50.0,4.387,24.0,8.0
Nuevo Leon,mayo,53.0,5.4495,35.0,14.0
Nuevo Leon,junio,60.0,8.113,27.0,15.0
Nuevo Leon,julio,50.0,5.384,39.0,5.0
Nuevo Leon,agosto,55.0,6.2343,29.0,15.0
Nuevo Leon,septiembre,32.0,5.4903,19.0,4.0
Nuevo Leon,octubre,48.0,9.64,21.0,3.0
Nuevo Leon,noviembre,46.0,5.0005,21.0,8.0
Nuevo Leon,diciembre,53.0,6.5695,31.0,8.0
Oaxaca,enero,19.0,1.0035,16.0,3.0
Oaxaca,febrero,24.0,1.449,26.0,6.0
Oaxaca,marzo,27.0,2.215,31.0,3.0
Oaxaca,abril,32.0,1.714,38.0,5.0
Oaxaca,mayo,36.0,3.2065,22.0,6.0
Oaxaca,junio,21.0,0.857,24.0,2.0
Oaxaca,julio,40.0,4.37,50.0,11.0
Oaxaca,agosto,29.0,1.735,29.0,3.0
Oaxaca,septiembre,20.0,2.114,14.0,2.0
Oaxaca,octubre,26.0,1.3875,14.0,5.0
Oaxaca,noviembre,16.0,0.986,19.0,4.0
Oaxaca,diciembre,17.0,1.135,14.0,0.0
Puebla,enero,27.0,1.5775,25.0,8.0
Puebla,febrero,31.0,2.323,19.0,6.0
Puebla,marzo,24.0,3.1935,28.0,7.0
Puebla,abril,24.0,1.2285,12.0,12.0
Puebla,mayo,31.0,2.108,13.0,8.0
Puebla,junio,34.0,2.769,21.0,9.0
Puebla,julio,45.0,3.797,35.0,15.0
Puebla,agosto,29.0,1.712,20.0,14.0
Puebla,septiembre,30.0,3.095,45.0,11.0
Puebla,octubre,29.0,2.2775,27.0,3.0
Puebla,noviembre,27.0,1.5046,4.0,11.0
Puebla,diciembre,40.0,3.267,36.0,18.0
Queretaro,enero,32.0,1.4297,16.0,4.0
Queretaro,febrero,24.0,2.287,9.0,4.0
Queretaro,marzo,33.0,2.992,18.0,1.0
Queretaro,abril,33.0,2.5,21.0,6.0
Queretaro,mayo,30.0,2.352,21.0,8.0
Queretaro,junio,30.0,2.795,13.0,1.0
Queretaro,julio,25.0,2.019,10.0,2.0
Queretaro,agosto,37.0,1.8725,19.0,14.0
Queretaro,septiembre,19.0,0.774,9.0,2.0
Queretaro,octubre,34.0,2.045,2.0,7.0
Queretaro,noviembre,25.0,1.2305,7.0,4.0
Queretaro,diciembre,30.0,2.7,16.0,3.0
Quintana Roo,enero,24.0,0.871,19.0,8.0
Quintana Roo,febrero,10.0,0.403,1.0,3.0
Quintana Roo,marzo,20.0,1.446,9.0,3.0
Quintana Roo,abril,10.0,0.8392,13.0,2.0
Quintana Roo,mayo,21.0,1.495,9.0,1.0
Quintana Roo,junio,7.0,0.858,5.0,3.0
Quintana Roo,julio,21.0,2.1,6.0,11.0
Quintana Roo,agosto,15.0,1.056,3.0,2.0
Quintana Roo,septiembre,16.0,0.905,7.0,4.0
Quintana Roo,octubre,13.0,0.905,6.0,3.0
Quintana Roo,noviembre,14.0,0.919,4.0,8.0
Quintana Roo,diciembre,14.0,0.9021,9.0,4.0
San Luis Potosi,enero,32.0,2.4265,13.0,15.0
San Luis Potosi,febrero,27.0,1.6602,12.0,14.0
San Luis Potosi,marzo,33.0,6.0,29.0,6.0
San Luis Potosi,abril,48.0,4.785,29.0,13.0
San Luis Potosi,mayo,35.0,5.896,23.0,15.0
San Luis Potosi,junio,42.0,3.6382,41.0,9.0
San Luis Potosi,julio,35.0,4.111,33.0,14.0
San Luis Potosi,agosto,40.0,5.552,32.0,12.0
San Luis Potosi,septiembre,23.0,1.433,14.0,8.0
San Luis Potosi,octubre,27.0,1.574,18.0,6.0
San Luis Potosi,noviembre,36.0,4.265,15.0,12.0
San Luis Potosi,diciembre,42.0,2.698,32.0,16.0
Sinaloa,enero,31.0,2.986,24.0,5.0
Sinaloa,febrero,18.0,1.041,22.0,7.0
Sinaloa,marzo,28.0,2.091,29.0,13.0
Sinaloa,abril,34.0,1.863,44.0,12.0
Sinaloa,mayo,20.0,0.997,10.0,5.0
Sinaloa,junio,31.0,2.7825,27.0,7.0
Sinaloa,julio,29.0,2.644,24.0,9.0
Sinaloa,agosto,19.0,1.345,27.0,6.0
Sinaloa,septiembre,36.0,2.3725,24.0,8.0
Sinaloa,octubre,23.0,3.4655,17.0,5.0
Sinaloa,noviembre,24.0,1.587,24.0,8.0
Sinaloa,diciembre,29.0,3.136,31.0,11.0
Sonora,enero,27.0,3.6985,34.0,9.0
Sonora,febrero,20.0,1.483,26.0,1.0
Sonora,marzo,28.0,3.021,29.0,7.0
Sonora,abril,26.0,2.4185,39.0,9.0
Sonora,mayo,13.0,0.883,30.0,4.0
Sonora,junio,29.0,4.4865,47.0,9.0
Sonora,julio,29.0,3.583,32.0,13.0
Sonora,agosto,20.0,3.098,17.0,2.0
Sonora,septiembre,12.0,0.874,3.0,6.0
Sonora,octubre,19.0,2.1675,25.0,10.0
Sonora,noviembre,26.0,3.1906,19.0,8.0
Sonora,diciembre,12.0,1.44,12.0,3.0
Tabasco,enero,34.0,2.2015,14.0,4.0
Tabasco,febrero,25.0,2.504,7.0,2.0
Tabasco,marzo,50.0,3.0335,11.0,8.0
Tabasco,abril,47.0,2.32,23.0,2.0
Tabasco,mayo,36.0,1.9716,22.0,3.0
Tabasco,junio,25.0,1.7545,10.0,10.0
Tabasco,julio,40.0,2.6765,10.0,4.0
Tabasco,agosto,26.0,1.116,4.0,2.0
Tabasco,septiembre,42.0,2.4385,16.0,6.0
Tabasco,octubre,27.0,1.4652,9.0,2.0
Tabasco,noviembre,27.0,0.879,19.0,1.0
Tabasco,diciembre,58.0,2.931,18.0,1.0
Tamaulipas,enero,40.0,7.304,31.0,13.0
Tamaulipas,febrero,32.0,1.9545,43.0,9.0
Tamaulipas,marzo,23.0,2.996,14.0,6.0
Tamaulipas,abril,42.0,5.0175,58.0,10.0
Tamaulipas,mayo,29.0,3.025,23.0,9.0
Tamaulipas,junio,33.0,2.315,26.0,9.0
Tamaulipas,julio,34.0,3.003,62.0,20.0
Tamaulipas,agosto,40.0,4.3345,41.0,7.0
Tamaulipas,septiembre,49.0,5.458,34.0,2.0
Tamaulipas,octubre,27.0,2.1365,19.0,6.0
Tamaulipas,noviembre,33.0,5.7425,38.0,14.0
Tamaulipas,diciembre,41.0,7.858,50.0,29.0
Tlaxcala,enero,18.0,0.578,20.0,3.0
Tlaxcala,febrero,15.0,1.32,18.0,1.0
Tlaxcala,marzo,26.0,1.438,13.0,1.0
Tlaxcala,abril,24.0,1.225,16.0,0.0
Tlaxcala,mayo,15.0,1.076,13.0,1.0
Tlaxcala,junio,16.0,0.6795,9.0,0.0
Tlaxcala,julio,20.0,0.921,13.0,1.0
Tlaxcala,agosto,20.0,1.403,11.0,0.0
Tlaxcala,septiembre,15.0,0.658,7.0,2.0
Tlaxcala,octubre,15.0,1.168,19.0,1.0
Tlaxcala,noviembre,25.0,1.8212,18.0,4.0
